Rho  FE_APE  FE_APE_c  FE_MAE   FE_MAE_c   FE_MBE   FE_MBE_c SEX_APE SEX_APE_c  SEX_MAE  SEX_MAE_c  SEX_MBE  SEX_MBE_c
0.01 27.37 1.69 0.0051 0.0003 -0.0051 -0.0003 8.81 0.54 0.0013 0.0001 0.0013 0.0001
0.02 11.57 0.21 0.0044 0.0001 -0.0044 -0.0001 3.76 0.07 0.0011 0.0000 0.0011 0.0000
0.03 5.61 1.10 0.0032 0.0006 -0.0032 0.0006 1.84 0.36 0.0008 0.0002 0.0008 -0.0002
0.04 2.02 2.41 0.0016 0.0019 -0.0016 0.0019 0.67 0.80 0.0004 0.0005 0.0004 -0.0005
0.05 0.57 3.68 0.0006 0.0036 0.0006 0.0036 0.19 1.23 0.0001 0.0009 -0.0001 -0.0009
0.06 2.69 4.93 0.0032 0.0059 0.0032 0.0059 0.91 1.67 0.0008 0.0015 -0.0008 -0.0015
0.07 4.48 6.12 0.0063 0.0086 0.0063 0.0086 1.53 2.09 0.0016 0.0022 -0.0016 -0.0022
0.08 6.07 7.28 0.0099 0.0119 0.0099 0.0119 2.10 2.51 0.0025 0.0030 -0.0025 -0.0030
0.09 7.55 8.44 0.0140 0.0157 0.0140 0.0157 2.63 2.94 0.0035 0.0039 -0.0035 -0.0039
0.1 8.92 9.56 0.0187 0.0200 0.0187 0.0200 3.14 3.37 0.0047 0.0050 -0.0047 -0.0050
0.2 19.52 19.36 0.0931 0.0924 0.0931 0.0924 7.55 7.49 0.0233 0.0231 -0.0233 -0.0231
0.4 32.41 32.32 0.4039 0.4027 0.4039 0.4027 15.07 15.02 0.1010 0.1007 -0.1010 -0.1007
0.6 36.60 36.67 0.9081 0.9099 0.9081 0.9099 20.67 20.71 0.2270 0.2275 -0.2270 -0.2275
0.8 33.20 33.34 1.4788 1.4849 1.4788 1.4849 23.30 23.40 0.3697 0.3712 -0.3697 -0.3712
