Rho   Box   Energy/N      qs     qs_c    S_ex      S_ex_c    S_ex_TI   FE/N    FE_c/N  FE_TI/N
0.01 21.54 -0.039149 0.250115 0.231108 -0.015707 -0.014514 -0.014435 0.023680 0.018905 0.018592
0.02 17.1 -0.078153 0.239285 0.230763 -0.030054 -0.028984 -0.028964 0.042064 0.037782 0.037703
0.03 14.94 -0.117046 0.235605 0.230499 -0.044388 -0.043426 -0.043584 0.060506 0.056658 0.057290
0.04 13.57 -0.155766 0.233599 0.230185 -0.058680 -0.057822 -0.058289 0.078954 0.075524 0.077389
0.05 12.6 -0.194394 0.232380 0.229958 -0.072967 -0.072207 -0.073108 0.097475 0.094433 0.098038
0.06 11.86 -0.232830 0.231438 0.229671 -0.087206 -0.086540 -0.088008 0.115993 0.113330 0.119201
0.07 11.26 -0.271175 0.230751 0.229437 -0.101438 -0.100861 -0.103018 0.134577 0.132267 0.140895
0.08 10.77 -0.309328 0.230164 0.229186 -0.115634 -0.115143 -0.118110 0.153209 0.151244 0.163111
0.09 10.36 -0.347316 0.229656 0.228929 -0.129802 -0.129391 -0.133312 0.171891 0.170247 0.185932
0.1 10.0 -0.385226 0.229258 0.228723 -0.143974 -0.143638 -0.148642 0.190670 0.189326 0.209342
0.2 7.94 -0.756056 0.226913 0.227065 -0.285003 -0.285194 -0.308287 0.383955 0.384719 0.477093
0.4 6.3 -1.434109 0.226551 0.226668 -0.569096 -0.569390 -0.670067 0.842276 0.843451 1.246159
0.6 5.5 -1.911681 0.231203 0.231083 -0.871173 -0.870721 -1.098202 1.573011 1.571202 2.481128
0.8 5.0 -1.891997 0.242204 0.241900 -1.216833 -1.215306 -1.586540 2.975334 2.969225 4.454165
